Time,Latitude,Longitude,Depth,Magnitude,Magnitude_type
2013-06-24T15:26:47.090000Z,37.477,34.8265,7.2,1.8,ML
2013-06-25T14:08:41.420000Z,38.8515,34.1318,5.4,2.4,ML
2013-06-25T15:24:13.130000Z,38.862,34.0765,3.0,1.9,ML
2013-06-25T15:37:48.900000Z,38.8668,34.1332,7.7,2.6,ML
2013-06-25T17:38:57.540000Z,38.8713,34.123,9.3,2.0,ML
2013-06-26T06:38:41.080000Z,38.6892,34.7628,9.2,2.2,ML
2013-06-26T07:54:35.910000Z,37.3355,35.3672,9.7,2.4,ML
2013-06-28T19:30:47.770000Z,39.1123,32.8065,2.6,2.8,ML
2013-07-02T02:17:05.930000Z,38.8497,34.0978,11.9,2.2,ML
2013-07-02T13:29:02.020000Z,38.7693,32.5568,5.3,2.0,ML
2013-07-03T12:57:19.620000Z,37.212,34.5862,9.9,2.2,ML
2013-07-03T13:39:10.520000Z,39.1313,34.0173,13.9,2.1,ML
2013-07-03T14:52:31.070000Z,38.6715,35.7788,2.8,2.2,ML
2013-07-04T03:55:37.950000Z,37.4027,32.9362,5.5,2.0,ML
2013-07-04T10:01:54.340000Z,38.0148,34.7827,11.4,2.1,ML
2013-07-04T17:40:58.360000Z,38.7588,32.5802,17.8,1.8,ML
2013-07-05T09:45:07.580000Z,39.298,35.1907,8.4,2.0,ML
2013-07-05T11:09:42.740000Z,39.0465,34.876,4.5,2.1,ML
2013-07-05T13:07:53.150000Z,39.1657,33.9675,8.4,1.9,ML
2013-07-05T14:09:20.100000Z,39.4433,35.2048,13.2,2.3,ML
2013-07-06T06:16:10.460000Z,37.492,36.4167,5.4,2.4,ML
2013-07-07T00:46:51.240000Z,37.33,35.9375,2.8,2.4,ML
2013-07-07T04:58:49.370000Z,37.2198,36.1163,8.7,2.3,ML
2013-07-07T16:28:35.200000Z,37.039,35.5375,2.6,1.6,ML
2013-07-08T01:39:20.820000Z,39.3385,33.756,5.6,2.1,ML
2013-07-08T07:36:12.880000Z,37.2983,35.9358,13.3,2.2,ML
2013-07-08T11:25:27.800000Z,38.0605,32.6157,5.4,2.4,ML
2013-07-08T11:37:00.130000Z,39.0088,34.9152,4.9,2.2,ML
2013-07-08T14:50:32.510000Z,37.6503,34.7648,7.0,2.2,ML
2013-07-08T20:07:11.920000Z,39.3625,34.1662,5.4,1.9,ML
2013-07-10T23:24:31.780000Z,37.0608,36.0407,8.1,2.2,ML
2013-07-11T04:13:26.440000Z,38.6945,33.6913,4.4,1.7,ML
2013-07-11T07:37:32.760000Z,38.5488,32.9115,8.1,1.7,ML
2013-07-11T19:50:54.970000Z,39.3432,33.7927,5.3,2.5,ML
2013-07-12T09:20:03.960000Z,38.584,33.0503,3.4,1.5,ML
2013-07-13T15:29:45.600000Z,37.1275,36.0027,3.9,2.7,ML
2013-07-13T15:35:29.550000Z,38.7557,34.0073,8.8,2.0,ML
2013-07-14T03:07:34.480000Z,37.7302,32.2245,1.5,1.5,ML
2013-07-15T12:24:50.090000Z,38.0052,32.3627,2.3,1.6,ML
2013-07-15T13:31:26.420000Z,37.2093,34.7267,4.9,2.0,ML
2013-07-16T16:19:11.770000Z,37.1602,34.6315,3.8,2.4,ML
2013-07-20T03:22:39.790000Z,37.4695,35.3367,14.4,2.1,ML
2013-07-20T21:29:16.020000Z,37.1245,36.4572,13.4,1.9,ML
2013-07-22T03:59:52.960000Z,37.9663,32.9858,8.2,2.2,ML
2013-07-22T10:04:06.190000Z,36.9567,34.474,6.5,1.9,ML
2013-07-23T04:37:05.600000Z,38.3827,33.3983,14.0,1.8,ML
2013-07-23T11:49:41.790000Z,39.4693,33.4788,5.4,1.9,ML
2013-07-23T16:06:07.870000Z,38.144,32.574,11.8,1.5,ML
2013-07-24T06:04:39.130000Z,37.0892,35.9982,8.1,2.7,ML
2013-07-24T11:36:18.310000Z,37.1565,35.7472,17.5,2.2,ML
2013-07-24T15:26:36.060000Z,38.2255,32.3753,5.2,1.8,ML
2013-07-24T23:16:34.540000Z,37.7965,35.8297,7.2,1.7,ML
2013-07-27T06:02:17.980000Z,37.5057,32.257,6.8,1.9,ML
2013-07-27T09:59:56.950000Z,39.6507,35.5653,4.5,1.9,ML
2013-07-27T12:09:21.680000Z,38.6745,35.7735,5.9,2.4,ML
2013-07-27T23:08:21.610000Z,38.0007,32.9813,10.0,1.7,ML
2013-07-30T11:56:28.530000Z,38.122,32.54,19.3,1.6,ML
2013-07-31T12:55:18.050000Z,37.8007,32.1832,2.5,1.6,ML
2013-07-31T16:06:35.030000Z,39.7495,35.1188,8.5,1.8,ML
2013-08-01T07:18:12.600000Z,37.0838,36.0528,16.1,2.4,ML
2013-08-01T08:15:30.540000Z,39.4607,35.3592,7.2,1.8,ML
2013-08-01T08:42:28.140000Z,36.9778,34.4173,5.3,1.6,ML
2013-08-01T13:28:00.100000Z,39.1448,33.993,6.7,1.7,ML
2013-08-02T09:20:27.040000Z,37.201,34.752,3.8,1.9,ML
2013-08-03T00:15:41.940000Z,39.0625,35.925,2.1,1.5,ML
2013-08-03T06:51:25.400000Z,39.3557,33.811,11.2,1.7,ML
2013-08-03T09:26:49.900000Z,38.1005,32.4205,7.1,1.6,ML
2013-08-03T11:42:27.790000Z,38.1165,32.6763,10.7,1.5,ML
2013-08-03T11:47:53.670000Z,39.1562,33.9862,9.1,2.0,ML
2013-08-03T14:52:36.000000Z,37.426,33.3053,5.5,1.9,ML
2013-08-03T19:46:08.810000Z,39.403,35.3332,8.4,2.3,ML
2013-08-04T18:13:33.580000Z,36.9953,34.4305,5.4,1.6,ML
2013-08-04T19:59:39.390000Z,37.5675,36.0893,13.4,3.3,ML
2013-08-05T12:41:16.720000Z,37.1358,34.627,6.5,2.8,ML
2013-08-06T19:19:50.250000Z,37.3985,36.0457,6.3,3.0,ML
2013-08-07T17:02:03.270000Z,37.5015,36.4097,5.6,1.7,ML
2013-08-08T07:39:15.350000Z,37.4713,36.1322,5.3,1.9,ML
2013-08-09T18:57:16.390000Z,37.5352,35.8398,4.8,1.6,ML
2013-08-10T13:38:32.040000Z,38.3853,33.4583,9.9,1.7,ML
2013-08-11T02:19:19.690000Z,37.4753,35.8782,11.6,1.7,ML
2013-08-11T13:57:49.180000Z,37.7097,35.3477,1.2,2.0,ML
2013-08-11T21:13:31.900000Z,37.172,36.225,6.9,1.7,ML
2013-08-12T03:07:19.520000Z,37.0963,36.1897,10.5,1.8,ML
2013-08-12T04:54:25.380000Z,38.9953,35.8532,5.2,1.8,ML
2013-08-12T10:30:27.260000Z,38.3178,33.4453,7.4,1.9,ML
2013-08-13T16:17:29.510000Z,38.1142,32.5918,16.9,1.6,ML
2013-08-13T20:11:22.360000Z,38.3548,33.3748,5.3,1.8,ML
2013-08-14T01:19:08.830000Z,38.346,33.4482,2.3,1.8,ML
2013-08-14T01:46:03.610000Z,38.3255,33.4232,9.0,1.6,ML
2013-08-14T09:13:51.010000Z,37.2518,34.6818,5.3,1.9,ML
2013-08-15T18:47:49.460000Z,38.4285,36.29,10.6,1.7,ML
